Rank,Classifier,Macro F1,Accuracy,Inference Latency (ms),Training Time (s)
1,SGD Classifier,0.7799280939207079,0.7811118130132659,0.1154644008836487,1.6317517757415771
2,Logistic Regression,0.7701016191973031,0.7719519898926089,0.11642455151016322,1.8734934329986572
3,Linear SVC,0.763874618451518,0.7694251421351863,0.10856185920315307,1.6150274276733398
4,Random Forest,0.760800442085475,0.7656348704990524,0.2815471897378272,7.66369104385376
5,Multinomial Naive Bayes,0.7181631328160639,0.7286797220467467,0.12477228932190906,1.708742618560791
