Classifier,Baseline Macro F1,Tuned Macro F1,F1 Improvement,Baseline Fit Time (s),Tuned Fit Time (s),Baseline Latency (ms),Tuned Latency (ms),Accuracy,Precision,Recall,Mean CV Score (F1)
SGD Classifier,0.6662806408029338,0.7799280939207079,0.11364745311777413,0.13459300994873047,1.6317517757415771,0.21041512489318848,0.1154644008836487,0.7811118130132659,0.7813233939458342,0.7787016901320474,0.774174510583992
Logistic Regression,0.6986478665505009,0.7701016191973031,0.0714537526468022,0.16729736328125,1.8734934329986572,0.2245926856994629,0.11642455151016322,0.7719519898926089,0.770023575201689,0.7702512736565476,0.7699359386568242
Linear SVC,0.6733034458509142,0.763874618451518,0.09057117260060388,0.14199113845825195,1.6150274276733398,0.17516851425170898,0.10856185920315307,0.7694251421351863,0.7684036770440987,0.7624971477002697,0.7649465102809081
Random Forest,0.7282087282087283,0.760800442085475,0.03259171387674675,0.34710192680358887,7.66369104385376,0.3115427494049072,0.2815471897378272,0.7656348704990524,0.7651033361962583,0.7593223359803783,0.7567198430517705
Multinomial Naive Bayes,0.620274373677515,0.7181631328160639,0.09788875913854889,0.13997340202331543,1.708742618560791,0.17224907875061035,0.12477228932190906,0.7286797220467467,0.7251457993448781,0.7194267531103081,0.7173576054895956
