Rank,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,CV Accuracy,Training Time (sec),Prediction Time (sec)
1,Random Forest,0.7765151515151515,0.7767633723843642,0.7765151515151515,0.7754227452448149,0.9133050318526171,0.7846117424242424,8.293673753738403,0.08795881271362305
2,Logistic Regression,0.7751893939393939,0.7744691865886395,0.7751893939393939,0.7745442863259152,0.9146237409607437,0.7854166666666667,1.151597499847412,0.0033724308013916016
3,Linear SVM,0.7683712121212121,0.7676540573955721,0.7683712121212121,0.7677242794821856,0.9025215220385676,0.772064393939394,4.064867973327637,0.0
4,Multinomial Naive Bayes,0.7560606060606061,0.7599280417727122,0.7560606060606061,0.7530593423959839,0.910811058023416,0.769128787878788,0.046483755111694336,0.0009837150573730469
5,XGBoost,0.7553030303030303,0.7623045657800008,0.7553030303030303,0.7541964387106261,0.8987204071969698,0.7597537878787879,19.85374093055725,0.014694929122924805
